Date;Close;Volume;Market Cap
2020-09-03;44,93;139741864;380565726
2020-09-04;42,45;126155803;359552974
2020-09-05;32,55;138464573;275707534
2020-09-06;38,14;120259913;323029099
2020-09-07;35,55;98470507;301087108
2020-09-08;31,36;69411544;265601355
2020-09-09;34,16;66598483;289326554
2020-09-10;33,03;49203799;279783564
2020-09-11;31,70;46302443;268463219
2020-09-12;35,19;54679951;298088241
2020-09-13;39,32;80444655;333014176
2020-09-14;40,12;74357424;339819457
2020-09-15;39,43;68701227;333976487
2020-09-16;42,56;66229038;360513602
2020-09-17;47,08;94481088;398801111
2020-09-18;44,63;64286776;378012705
2020-09-19;44,03;57395366;372904506
2020-09-20;39,73;60162815;336515348
2020-09-21;32,17;56236276;272518797
2020-09-22;33,38;42076434;282766986
2020-09-23;32,78;54372249;277609979
2020-09-24;36,50;46244325;309176253
2020-09-25;36,88;35171646;312386503
2020-09-26;35,86;27330404;303756874
2020-09-27;34,38;32099854;291237272
2020-09-28;33,85;38720183;286696464
2020-09-29;35,62;30766094;301739396
2020-09-30;33,84;25238853;286626524
2020-10-01;34,07;33074698;288569763
2020-10-02;32,18;33653835;272550816
2020-10-03;32,31;20524522;273655457
2020-10-04;31,72;21890869;268708069
2020-10-05;31,74;19325082;268809578
2020-10-06;27,80;20480323;235452070
2020-10-07;26,50;27733948;224417589
2020-10-08;27,78;38063711;235303928
2020-10-09;29,50;25712355;249870077
2020-10-10;29,70;29626995;251582712
2020-10-11;29,07;24183184;246199772
2020-10-12;32,11;32488259;271970573
2020-10-13;30,77;23128406;260613098
2020-10-14;31,07;31046219;263133827
2020-10-15;29,43;20899311;249266949
2020-10-16;28,12;21764028;238208239
2020-10-17;29,35;17908388;248613908
2020-10-18;31,00;20206061;262576370
2020-10-19;28,99;21262858;245583909
2020-10-20;27,90;26811021;236329948
2020-10-21;27,97;28028654;236919481
2020-10-22;28,23;24902634;239076082
2020-10-23;28,02;25799560;237370780
2020-10-24;27,10;19609394;229572606
2020-10-25;26,73;27569033;226432829
2020-10-26;35,29;129425424;298914890
2020-10-27;34,31;76527014;290620556
2020-10-28;31,61;54736658;267721066
2020-10-29;30,00;31164352;254086805
2020-10-30;29,59;30099583;250638329
2020-10-31;30,44;23728380;257797161
2020-11-01;32,09;22193981;271822801
2020-11-02;29,98;25598142;253933838
2020-11-03;28,83;25569453;244195314
2020-11-04;28,67;22647156;242825849
2020-11-05;30,26;19858102;256289495
2020-11-06;32,81;33156823;277908185
2020-11-07;31,27;40816025;264839024
2020-11-08;32,96;27074762;279179893
2020-11-09;33,09;23376659;280254918
2020-11-10;34,97;33158867;296241674
2020-11-11;35,61;38316168;301612609
2020-11-12;38,09;34284233;322647504
2020-11-13;38,60;27485378;326913783
2020-11-14;37,15;28475179;314702159
2020-11-15;35,37;26412218;299595482
2020-11-16;36,23;25338993;306843518
2020-11-17;38,12;30422269;322845071
2020-11-18;35,60;27532385;301557653
2020-11-19;35,31;23800405;299082024
2020-11-20;37,72;40110496;319477391
2020-11-21;40,33;35107737;341601248
2020-11-22;38,35;28066108;324802483
2020-11-23;40,45;27725667;342620240
2020-11-24;48,17;103150087;408002747
2020-11-25;42,39;47040104;359046666
2020-11-26;48,83;122910773;413628623
2020-11-27;45,26;52959672;383341638
2020-11-28;45,24;33298988;383155194
2020-11-29;53,06;69139032;449425518
2020-11-30;52,12;63813172;441451355
2020-12-01;54,27;66566865;459640023
2020-12-02;61,61;101901854;521839971
2020-12-03;59,20;65964215;501458712
2020-12-04;50,93;84435714;431379527
2020-12-05;55,72;68703869;471964379
2020-12-06;52,37;43633379;443583677
2020-12-07;53,52;39994606;453339233
2020-12-08;46,19;62238181;391271453
2020-12-09;49,01;74775022;415103094
2020-12-10;47,07;48929856;398721308
2020-12-11;44,96;55142841;380821266
2020-12-12;48,21;50120337;408363876
2020-12-13;50,72;54602205;429573640
2020-12-14;50,43;50466033;427151133
2020-12-15;56,98;73477622;482599982
2020-12-16;57,26;86377165;484959697
2020-12-17;58,13;92622310;492391408
2020-12-18;57,43;58938555;486425341
2020-12-19;55,77;54809123;472340614
2020-12-20;53,55;57270414;453568505
2020-12-21;49,86;62111791;422302737
2020-12-22;54,12;77941224;458363216
2020-12-23;47,52;95504241;402458429
2020-12-24;52,36;67734472;443464285
2020-12-25;49,91;61365289;422754678
2020-12-26;47,82;63449657;405081695
2020-12-27;50,32;79199212;426178357
2020-12-28;58,24;91230742;493293710
2020-12-29;61,26;113580380;518866502
2020-12-30;62,04;107584443;525455806
2020-12-31;71,96;125083931;609505070
2021-01-01;69,50;111001467;588670118
2021-01-02;68,94;108961169;583963229
2021-01-03;72,57;105899926;614696239
2021-01-04;68,26;134866599;578178176
2021-01-05;67,81;102102564;574334884
2021-01-06;75,11;123771129;636228299
2021-01-07;68,89;114544803;583489751
2021-01-08;68,89;91506352;583500101
2021-01-09;69,12;76814835;585430079
2021-01-10;71,27;110496406;603676451
2021-01-11;64,52;135286560;546459259
2021-01-12;62,50;81915447;529340050
2021-01-13;76,80;148604007;650504725
