Date;Close;Volume;Market Cap
2020-09-03;0,08296;51053790;121363988
2020-09-04;0,08821;52366483;129046107
2020-09-05;0,07861;56039022;114998135
2020-09-06;0,07827;37722033;114504120
2020-09-07;0,07688;25623159;112467555
2020-09-08;0,07437;12781491;108790089
2020-09-09;0,07744;10150920;113285510
2020-09-10;0,08208;9959374;120073430
2020-09-11;0,08509;13043231;124447908
2020-09-12;0,08504;9263238;124369927
2020-09-13;0,08179;10524547;119628648
2020-09-14;0,08232;9416930;120402806
2020-09-15;0,07956;6400294;116362000
2020-09-16;0,07881;5423966;115257853
2020-09-17;0,08025;6369326;117368525
2020-09-18;0,07908;6227087;115657158
2020-09-19;0,08086;5119693;118262403
2020-09-20;0,07917;5242310;115784516
2020-09-21;0,07044;8497724;103016355
2020-09-22;0,07258;7619120;106156788
2020-09-23;0,06862;71798227;100354146
2020-09-24;0,07555;59489160;110497427
2020-09-25;0,07711;55292176;112783750
2020-09-26;0,07958;55852540;116387809
2020-09-27;0,07883;47785158;115298099
2020-09-28;0,08029;43267821;117432532
2020-09-29;0,08825;72267963;129066807
2020-09-30;0,08384;59779960;122620196
2020-10-01;0,07715;69552213;112827492
2020-10-02;0,07443;66870079;108850371
2020-10-03;0,07482;41696724;109420065
2020-10-04;0,07504;35072469;109749992
2020-10-05;0,07594;29041877;111066623
2020-10-06;0,06997;39379562;102331856
2020-10-07;0,07063;33255456;103305484
2020-10-08;0,07402;32968474;108253779
2020-10-09;0,0797;37922703;116557451
2020-10-10;0,08014;61492277;118901626
2020-10-11;0,07834;26490357;116222852
2020-10-12;0,0791;25581952;117347227
2020-10-13;0,0773;22344783;114677918
2020-10-14;0,07567;9133778;112267235
2020-10-15;0,07462;7979945;110696960
2020-10-16;0,07158;9676653;106188170
2020-10-17;0,07395;9451566;109713691
2020-10-18;0,07642;10901467;113369444
2020-10-19;0,07427;11107813;110181190
2020-10-20;0,07165;20017081;106340742
2020-10-21;0,07424;12649991;110179530
2020-10-22;0,07533;10423150;111796942
2020-10-23;0,07345;13004329;109005169
2020-10-24;0,07484;13370177;111075271
2020-10-25;0,07317;11584082;108592459
2020-10-26;0,0734;22408200;108938410
2020-10-27;0,07243;42206886;107491779
2020-10-28;0,06616;22280240;98181497
2020-10-29;0,06482;8782925;96191993
2020-10-30;0,06406;30106709;95064602
2020-10-31;0,06521;14491367;96774833
2020-11-01;0,06442;11498055;95603115
2020-11-02;0,06287;10191280;93307834
2020-11-03;0,06272;13616544;93080642
