Date;Close;Volume;Market Cap
2020-09-03;77,98;140380810;1379207534
2020-09-04;82,35;149075409;1456528455
2020-09-05;77,71;259444708;1374491409
2020-09-06;80,33;215200059;1421048813
2020-09-07;82,53;243693290;1460013712
2020-09-08;83,9;294622244;1484370092
2020-09-09;84,38;192100834;1492923629
2020-09-10;83,46;26710283019;1476752887
2020-09-11;88,39;20874120674;1564017397
2020-09-12;86,51;209387764;1530781110
2020-09-13;89,5;28959121742;1583940390
2020-09-14;92,65;524965378;1639728813
2020-09-15;91,12;532663423;1612774654
2020-09-16;86,61;502022873;1532913873
2020-09-17;92,43;487697605;1636037117
2020-09-18;92,3;435978522;1633873492
2020-09-19;95,74;485295626;1694862737
2020-09-20;93,36;493090147;1652871343
2020-09-21;88,95;478896181;1574902278
2020-09-22;92,95;407803150;1645853827
2020-09-23;87,47;391456471;1548749754
2020-09-24;91,79;415313750;1625439764
2020-09-25;92,75;424972428;1642513743
2020-09-26;94,65;372311694;1676264053
2020-09-27;97,18;509313971;1721143474
2020-09-28;95,13;457660052;1684844721
2020-09-29;100,35;515616519;1777530207
2020-09-30;108,15;690182931;1915748836
2020-10-01;102,66;854570165;1818548463
2020-10-02;101,72;765848018;1801961007
2020-10-03;103,66;596525983;1836482342
2020-10-04;105,56;681642870;1870326049
2020-10-05;112,9;764075575;2000489429
2020-10-06;106,67;796790445;1890084959
2020-10-07;109,99;965840606;1949070600
2020-10-08;110,91;834716514;1965511864
2020-10-09;116,03;869136720;2056443030
2020-10-10;115,84;732827430;2053063374
2020-10-11;125,92;823937833;2231922584
2020-10-12;129,58;1139231804;2296968553
2020-10-13;127,78;989515081;2265150202
2020-10-14;128,7;508090170;2281643783
2020-10-15;129,83;854391077;2301802474
2020-10-16;120,19;809567247;2130963707
2020-10-17;120,04;918445383;2128299210
2020-10-18;123,63;629206957;2191912428
2020-10-19;125,4;738334532;2223439642
2020-10-20;117,95;1043640790;2091194829
2020-10-21;121,75;1429939004;2159175080
2020-10-22;127,07;1164629877;2253432539
2020-10-23;127,3;1019056589;2257830131
2020-10-24;129;905899376;2288098062
2020-10-25;130,8;945179739;2320219987
2020-10-26;132,02;1119665840;2342031000
2020-10-27;133,73;929589775;2372429877
2020-10-28;126,35;1178567842;2241666918
2020-10-29;124,28;1214131984;2205096185
2020-10-30;122,95;1308805667;2181584418
2020-10-31;126,34;1139362516;2241757323
2020-11-01;126,56;945308161;2245789060
2020-11-02;118,73;1256143677;2107114150
2020-11-03;120,73;1250890307;2142700536
2020-11-04;115,96;1576064011;2058026558
2020-11-05;119,81;1192785821;2126591386
2020-11-06;119,48;1133832829;2120829317
2020-11-07;111,31;1212524314;1975955901
2020-11-08;120,33;1075666534;2136196488
2020-11-09;115,66;930648315;2053335347
2020-11-10;115,33;886282458;2047676366
2020-11-11;113,37;953628922;2012820354
2020-11-12;112,05;1095901980;1989513997
2020-11-13;114,11;936557125;2026292098
2020-11-14;116,58;788167676;2070171638
2020-11-15;114,62;716438616;2035536334
2020-11-16;117,98;850372672;2095339297
2020-11-17;125,43;727842488;2227736548
2020-11-18;123,64;1075626342;2196081381
2020-11-19;118,39;967438282;2102747263
2020-11-20;120,94;982683690;2148312674
2020-11-21;128,07;1190447304;2274996618
2020-11-22;123,33;1419490754;2190908439
2020-11-23;129,89;1179302984;2307354111
2020-11-24;135,2;1676850361;2401704916
2020-11-25;129,15;1543326329;2294350361
2020-11-26;119,35;1692582467;2120770730
2020-11-27;117,31;1120096045;2084661130
2020-11-28;122;888532373;2168139715
2020-11-29;123,99;990558821;2203590271
2020-11-30;129,71;960312531;2305391516
2020-12-01;125,93;867323873;2238232239
2020-12-02;127,9;952136003;2273362578
2020-12-03;133,02;886562181;2364465850
2020-12-04;127,02;938138557;2257939159
2020-12-05;133,36;780583419;2370812026
2020-12-06;134,65;912728956;2393871508
2020-12-07;138,92;1034799193;2469986961
2020-12-08;135,71;840892038;2412988339
2020-12-09;132,63;913661145;2358284725
2020-12-10;133,9;542981597;2380943694
2020-12-11;141,56;621798045;2517280714
2020-12-12;146,72;872906517;2609305918
2020-12-13;151,91;812781072;2701686453
2020-12-14;152,68;924928957;2715576730
2020-12-15;151;835723672;2685704162
2020-12-16;158,7;1165978079;2822960322
2020-12-17;160,22;1520827020;2850067260
2020-12-18;154,82;1198875248;2754164112
2020-12-19;155,02;1058413017;2757791556
2020-12-20;152,5;1179117992;2713151524
2020-12-21;146,27;871086463;2602467510
2020-12-22;156,17;1085861192;2778777023
2020-12-23;150,9;1651914827;2685046908
2020-12-24;156,76;1214238106;2789433146
2020-12-25;159,27;1140842321;2834281031
2020-12-26;167,94;1298457222;2988737761
2020-12-27;157,26;1265534848;2798785870
2020-12-28;166,49;1460056395;2963183126
2020-12-29;161,39;1308264776;2872666452
2020-12-30;159,37;1358681218;2836845009
2020-12-31;156,57;1095354071;2787140073
2021-01-01;136,05;1946205729;2421861836
2021-01-02;143,12;1794461266;2547876470
2021-01-03;138,06;1234835529;2458046205
2021-01-04;133,6;1098283687;2378729311
2021-01-05;136,83;1316221597;2436225146
2021-01-06;142,32;1127011232;2534244556
2021-01-07;143,1;1621898149;2548268623
