Date;Close;Volume;Market Cap
2020-09-03;0,01939;19269778;73364878
2020-09-04;0,01946;20856523;73608233
2020-09-05;0,01802;16149424;68160318
2020-09-06;0,01879;11566935;71075530
2020-09-07;0,01883;11114003;71251915
2020-09-08;0,01825;8974662;69045888
2020-09-09;0,02015;17283161;76239423
2020-09-10;0,02048;13563418;77877012
2020-09-11;0,02121;12115050;80655871
2020-09-12;0,02098;9820302;79802243
2020-09-13;0,01981;13410049;75365115
2020-09-14;0,02014;10363434;76600190
2020-09-15;0,0205;16978487;77989214
2020-09-16;0,01986;12152182;75526799
2020-09-17;0,02043;14224677;77710536
2020-09-18;0,02103;17872144;79989212
2020-09-19;0,02091;9885392;79543018
2020-09-20;0,02196;16647627;83526077
2020-09-21;0,01895;28648319;72063452
2020-09-22;0,01965;8484373;74726366
2020-09-23;0,01771;9911559;67357545
2020-09-24;0,01899;10638006;72217688
2020-09-25;0,01915;8791831;72820163
2020-09-26;0,01893;7439929;71992746
2020-09-27;0,01874;8813621;71263901
2020-09-28;0,01889;16761055;72090627
2020-09-29;0,01968;10834905;75101155
2020-09-30;0,02015;9767572;76925913
2020-10-01;0,01898;14776920;72446321
2020-10-02;0,01827;9923295;69747101
2020-10-03;0,01855;5534694;70807070
2020-10-04;0,0186;5258875;71005061
2020-10-05;0,01884;6023473;71917535
2020-10-06;0,01716;9375522;65519001
2020-10-07;0,01696;9249810;64730959
2020-10-08;0,01663;12897319;63483490
2020-10-09;0,01709;10117799;65248597
2020-10-10;0,01721;8915882;65681065
2020-10-11;0,01785;7229731;68152703
2020-10-12;0,0179;9285088;68585488
2020-10-13;0,0177;6904064;67794746
2020-10-14;0,01724;6314096;66022718
2020-10-15;0,01719;6683165;65849164
2020-10-16;0,01625;6618218;62257581
2020-10-17;0,01674;4856798;64132413
2020-10-18;0,01689;4780011;64688431
2020-10-19;0,0162;6508722;62073679
2020-10-20;0,01563;24527488;59880140
2020-10-21;0,01638;14525760;62758735
2020-10-22;0,0174;12740856;66670077
2020-10-23;0,01704;9430623;65275381
2020-10-24;0,01768;8231996;67735612
2020-10-25;0,01716;9757810;65752347
2020-10-26;0,01656;12961598;63666144
2020-10-27;0,0158;18131433;60737294
2020-10-28;0,01509;8835884;64531336
2020-10-29;0,01388;8853568;59357242
2020-10-30;0,01391;11523990;59502239
2020-10-31;0,01372;6032755;58694024
2020-11-01;0,01411;5702032;60344683
2020-11-02;0,01369;6228142;58550274
2020-11-03;0,01272;9160030;54398799
2020-11-04;0,01225;9060246;58123448
2020-11-05;0,01348;11844990;63935603
2020-11-06;0,01551;20995802;73578274
2020-11-07;0,01439;20112296;68285275
2020-11-08;0,01574;11777719;74650985
2020-11-09;0,01563;12438306;74381821
2020-11-10;0,01731;20802463;82377529
2020-11-11;0,0166;10641721;78991787
2020-11-12;0,01586;10853929;75459097
2020-11-13;0,01692;8441268;80488668
2020-11-14;0,01675;6054997;79697948
2020-11-15;0,01646;7699718;78316795
2020-11-16;0,01661;7058128;79024868
2020-11-17;0,01769;17220075;84182148
2020-11-18;0,01709;17025859;81326511
2020-11-19;0,01727;11780231;82177603
2020-11-20;0,01787;12183600;85020811
2020-11-21;0,01976;19283687;94002481
2020-11-22;0,01904;21197851;90568080
2020-11-23;0,02116;25040100;100689834
2020-11-24;0,02166;28126148;103070286
2020-11-25;0,0213;24865281;101318697
2020-11-26;0,01778;29547199;84591549
2020-11-27;0,0177;9687176;84235348
2020-11-28;0,01875;9071347;89207421
2020-11-29;0,01886;9115838;89713303
2020-11-30;0,01956;12682601;93075969
2020-12-01;0,01872;14210419;89072515
2020-12-02;0,01933;8639245;91984696
2020-12-03;0,02081;14372967;98991970
2020-12-04;0,01887;14569072;89784765
2020-12-05;0,01973;9090150;93887274
2020-12-06;0,01957;8262858;93116684
2020-12-07;0,0192;5737007;91867065
2020-12-08;0,0176;8769903;84237693
2020-12-09;0,01809;10989601;86572441
2020-12-10;0,01777;9773733;85031233
2020-12-11;0,0175;7664231;83728003
2020-12-12;0,01787;6384575;85499959
2020-12-13;0,0181;5960269;86603929
2020-12-14;0,01838;6472765;88213761
2020-12-15;0,01949;14597988;93515612
2020-12-16;0,01943;13012452;93251804
2020-12-17;0,01896;18914753;90969003
2020-12-18;0,0206;13821146;98845098
2020-12-19;0,01998;17975451;95881538
2020-12-20;0,01922;11063097;92225298
2020-12-21;0,01816;10458400;87117066
2020-12-22;0,01865;8713462;89471416
2020-12-23;0,0152;13949596;72957658
2020-12-24;0,01646;10462294;78998172
2020-12-25;0,01662;10626106;79754426
2020-12-26;0,01929;19774476;92581497
2020-12-27;0,0183;23010603;87815011
2020-12-28;0,01887;15253479;90818937
2020-12-29;0,01845;11436635;88778147
2020-12-30;0,01814;9394171;87268311
2020-12-31;0,01763;10278722;84850952
2021-01-01;0,01781;9798566;85710293
2021-01-02;0,01904;17374970;91635684
2021-01-03;0,01998;17908526;96120900
2021-01-04;0,02461;44212481;118444471
2021-01-05;0,02447;58583192;118067499
2021-01-06;0,03513;153415534;170773578
2021-01-07;0,033;105163771;160393811
2021-01-08;0,03174;61246036;154267830
2021-01-09;0,03351;79019168;162890617
2021-01-10;0,03041;52646300;147926102
2021-01-11;0,02612;38494930;127071715
2021-01-12;0,02609;24813161;126908435
2021-01-13;0,03007;30383230;146269043
2021-01-14;0,03283;34026776;159700311
2021-01-15;0,03401;50937165;165454319
2021-01-16;0,03277;38716031;159392112
2021-01-17;0,03402;34064950;165482227
2021-01-18;0,03605;38764373;175372934
2021-01-19;0,03251;33655721;158156228
2021-01-20;0,03453;39296520;167980018
2021-01-21;0,0286;33989576;139139499
2021-01-22;0,0313;34193736;152242889
2021-01-23;0,03397;52887165;165262629
2021-01-24;0,03318;33074049;161380307
2021-01-25;0,03298;35904208;160862488
2021-01-26;0,04336;191626219;211505131
2021-01-27;0,04207;161467929;205217942
2021-01-28;0,03889;86132323;189708187
2021-01-29;0,04028;93560701;196465387
2021-01-30;0,03992;82468480;194746963
2021-01-31;0,03828;41501676;186720250
2021-02-01;0,04088;47374907;199392349
2021-02-02;0,04108;32237671;200398316
2021-02-03;0,04384;42381028;213826474
2021-02-04;0,04735;80798809;230952850
2021-02-05;0,05477;109264090;271252337
2021-02-06;0,05241;84137240;259556188
2021-02-07;0,06764;153001299;335021324
2021-02-08;0,07127;239087930;352976720
2021-02-09;0,09887;333193199;489678095
2021-02-10;0,117;738971373;579558630
2021-02-11;0,1236;315764485;612226523
2021-02-12;0,1212;210036620;602090895
2021-02-13;0,1117;180338763;554498808
2021-02-14;0,1009;150901102;501219438
2021-02-15;0,1076;257633254;534411053
2021-02-16;0,1089;161640362;540841330
2021-02-17;0,1122;192608043;557328719
2021-02-18;0,1227;256329522;609593779
2021-02-19;0,1548;385398324;768995027
2021-02-20;0,1461;838406825;725493927
2021-02-21;0,1623;426999785;805800099
2021-02-22;0,152;366038611;754919409
2021-02-23;0,137;472517260;680421465
2021-02-24;0,1602;413053550;795829742
2021-02-25;0,1762;713542669;874972858
2021-02-26;0,1906;653230825;946603566
2021-02-27;0,1975;610004301;981025454
2021-02-28;0,2288;694075983;1136543607
2021-03-01;0,2516;706136275;1249408430
2021-03-02;0,2319;355424277;1151673092
2021-03-03;0,2239;255744904;1112151842
2021-03-04;0,2004;251777998;995239253
2021-03-05;0,2152;250614421;1068622190
2021-03-06;0,213;158909076;1057773071
2021-03-07;0,2122;127461430;1054081390
2021-03-08;0,2166;136299302;1078770406
2021-03-09;0,299;742292065;1488916516
2021-03-10;0,2875;767394371;1431857181
2021-03-11;0,4106;1700044439;2049726361
2021-03-12;0,4144;1638910147;2068709140
2021-03-13;0,4251;840876663;2122252426
2021-03-14;0,3829;538225586;1911327157
2021-03-15;0,393;605932856;1961636307
2021-03-16;0,3732;413704310;1870309139
2021-03-17;0,4033;606643873;2020835734
2021-03-18;0,3907;345618831;1958068739
2021-03-19;0,4118;286226960;2063549697
2021-03-20;0,3836;227972953;1922393857
2021-03-21;0,3811;233175578;1909649178
2021-03-22;0,3487;218973063;1747653810
2021-03-23;0,3317;214301301;1662203237
2021-03-24;0,325;341042162;1628550763
2021-03-25;0,3019;242430418;1512650663
2021-03-26;0,3368;228186511;1687809507
2021-03-27;0,3334;209270719;1670973322
2021-03-28;0,346;211156181;1733945302
2021-03-29;0,3839;515212013;1924051587
2021-03-30;0,3713;257443389;1860580461
2021-03-31;0,3599;281140380;1803722160
2021-04-01;0,3642;211284882;1825207915
2021-04-02;0,384;268317949;1924332794
2021-04-03;0,354;222409214;1774139570
2021-04-04;0,3626;165050296;1817266052
2021-04-05;0,37;225534790;1864370708
2021-04-06;0,3746;293679159;1887209885
2021-04-07;0,3372;259031047;1698982347
2021-04-08;0,3563;155583605;1795209655
2021-04-09;0,3676;173371170;1852126634
2021-04-10;0,3585;168749009;1806114811
2021-04-11;0,3705;141234990;1866885295
2021-04-12;0,358;147382913;1803966689
2021-04-13;0,4221;618821779;2126571580
2021-04-14;0,4147;492289025;2151521088
2021-04-15;0,4427;440389322;2297070768
2021-04-16;0,4364;398692669;2264458089
2021-04-17;0,4063;225290395;2107795667
2021-04-18;0,3629;405420994;1882869673
2021-04-19;0,3272;214818440;1697642282
2021-04-20;0,3415;249383389;1771959588
2021-04-21;0,3592;267793113;1863822011
